idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
540,31,10,27.6,24.8,20.0,1.4,1.4,1.1
541,31,11,27.7,24.3,19.8,1.4,1.3,1.2
542,31,12,27.6,24.8,19.9,1.2,1.3,1.3
543,31,13,27.6,24.4,19.8,1.2,1.3,1.2
544,31,14,27.8,24.6,19.9,1.2,1.4,1.3
545,31,15,28.0,24.6,19.8,1.4,1.4,1.1
546,31,16,27.9,24.9,19.8,1.5,1.4,1.1
547,31,17,27.8,24.6,20.0,1.2,1.4,1.1
548,31,18,28.0,25.0,19.8,1.5,1.4,1.1
549,31,19,27.9,24.5,19.9,1.4,1.3,1.2
550,31,20,27.8,24.6,20.0,1.4,1.4,1.1
