idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
232,13,12,216202067.0,791428679.0,2626716079.0
233,13,13,214893205.0,777640835.0,2592314737.0
234,13,14,215273386.0,801953617.0,2626444581.0
235,13,15,217724723.0,797445323.0,2618847922.0
236,13,16,221404986.0,776457510.0,2650309648.0
237,13,17,218138694.0,774162486.0,2638160017.0
238,13,18,217039247.0,767574786.0,2651421623.0
239,13,19,213882038.0,790109323.0,2591580356.0
240,13,20,216220488.0,808922880.0,2650676463.0
241,14,1,215052276.0,769366934.0,2592572285.0
242,14,2,215811282.0,780397309.0,2566597628.0
243,14,3,220125741.0,789677037.0,2570115859.0
244,14,4,214581804.0,776616822.0,2574146061.0
245,14,5,214381845.0,788964109.0,2567699291.0
246,14,7,213545329.0,788052732.0,2563221471.0
247,14,8,216670596.0,788306524.0,2580023150.0
248,14,9,214300269.0,793052982.0,2568979180.0
249,14,10,216155755.0,794229569.0,2522648445.0
250,14,11,213512660.0,665966700.0,2570421726.0
251,14,12,216689703.0,789852337.0,2562959481.0
252,15,1,215433524.0,799808683.0,2558187521.0
253,15,2,214111144.0,795935440.0,2570822434.0
254,15,3,215808981.0,791540591.0,2565875907.0
255,15,4,214915078.0,766081377.0,2568018000.0
256,15,5,218747973.0,813880385.0,2551939749.0
257,15,6,287817546.0,800840715.0,2488768897.0
258,15,7,213560744.0,777422816.0,2506965142.0
259,15,8,216608058.0,781304720.0,2552553172.0
260,15,9,213450918.0,789415672.0,2587309310.0
261,16,1,212571865.0,801598589.0,2531789522.0
262,16,2,213200588.0,769459724.0,2536838383.0
263,16,3,213952766.0,788078985.0,2535313409.0
264,16,4,218020262.0,765309882.0,2581821012.0
265,16,5,218184143.0,783224945.0,2663235447.0
266,16,6,217608464.0,797807630.0,2530668930.0
267,16,7,214039378.0,799375227.0,2614953399.0
268,16,8,215930908.0,767198159.0,2539518088.0
269,16,9,212263018.0,781761644.0,2534132525.0
270,16,10,214018640.0,801825099.0,2614620154.0
271,16,11,214537136.0,785339408.0,2530033413.0
272,16,12,212525465.0,772799241.0,2543594626.0
273,16,13,211849733.0,769738319.0,2534865616.0
274,16,14,218599956.0,790303280.0,2616112486.0
275,16,15,212493486.0,779661953.0,2552996702.0
276,16,16,212626582.0,779551836.0,2583988086.0
277,16,17,215102401.0,797920409.0,2539805024.0
278,16,18,213041423.0,775655389.0,2533461651.0
279,16,19,213142320.0,787254146.0,2533748162.0
280,16,20,212667688.0,785565340.0,2563427353.0
281,17,1,229083627.0,780524536.0,2686154567.0
282,17,2,220992280.0,803548864.0,2734480264.0
283,17,3,220583231.0,804261560.0,2752675036.0
284,17,4,219707654.0,780487425.0,2717735890.0
285,17,5,221279050.0,794630052.0,2674875823.0
286,17,6,220587017.0,796983406.0,2701375661.0
287,17,7,233662195.0,770813232.0,2732172404.0
288,17,8,221982941.0,794881014.0,2703538803.0
289,17,9,219415730.0,781859293.0,2676136878.0
290,17,10,220699844.0,792797634.0,2731607571.0
291,17,11,222761924.0,795686712.0,2717575843.0
292,17,12,220672154.0,784079112.0,2764584309.0
293,17,13,219590112.0,782019268.0,2748019616.0
294,17,14,218639524.0,789552336.0,2706348043.0
295,17,15,218988251.0,793597814.0,2703256217.0
296,17,16,218297501.0,776773555.0,2702639111.0
297,17,17,224364525.0,796890306.0,2781377611.0
298,17,18,216898150.0,787791928.0,2697046564.0
299,17,19,217852743.0,779536245.0,2708974946.0
300,17,20,221690713.0,796814693.0,2729332777.0
301,18,1,218585104.0,788391569.0,2572835188.0
302,18,2,218745168.0,775304769.0,2636113036.0
303,18,3,214423560.0,778828079.0,2563802809.0
304,18,4,213686670.0,787030357.0,2541269426.0
305,18,5,218151705.0,778397493.0,2602236255.0
306,18,6,212868927.0,768580940.0,2525390109.0
307,18,7,214988017.0,785178566.0,2613012738.0
308,18,8,215737172.0,787121930.0,2566685259.0
309,18,9,215933720.0,798189693.0,2681136072.0
310,18,10,216220888.0,788526608.0,2582025753.0
311,18,11,213262925.0,764191088.0,2545233686.0
312,18,12,221011906.0,764437340.0,2689258526.0
313,18,13,214010441.0,798218447.0,2574586598.0
314,18,14,214717853.0,784294315.0,2577052986.0
315,18,15,213597765.0,791312911.0,2577661791.0
316,18,16,215172044.0,793004500.0,2566362286.0
317,18,17,213290116.0,788511369.0,2596021727.0
318,18,18,215552058.0,791317025.0,2552044507.0
319,18,19,229196206.0,796741652.0,2631946279.0
320,18,20,216207648.0,792823773.0,2552158762.0
321,19,1,222215387.0,795399062.0,2829232360.0
322,19,2,224837987.0,779647253.0,2809893797.0
323,19,3,225078046.0,807934164.0,2818862184.0
324,19,4,223539138.0,807445355.0,2844483887.0
