idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
479,27,14,20.2,16.9,12.2,0.1,0.0,0.3
480,27,15,20.2,16.7,12.1,0.0,0.0,0.3
481,27,16,20.0,16.8,12.2,0.0,0.0,0.3
482,27,17,20.2,16.8,12.1,0.1,0.0,0.3
483,27,18,20.1,16.8,12.2,0.0,0.0,0.2
484,27,19,20.1,17.1,12.2,0.0,0.0,0.3
485,27,20,20.1,16.7,12.1,0.0,0.1,0.3
486,28,1,19.9,16.7,12.1,0.0,0.0,0.2
487,28,2,20.1,16.7,12.1,0.0,0.0,0.2
488,28,3,20.1,16.9,12.2,0.0,0.0,0.2
489,28,4,20.2,16.9,12.1,0.0,0.0,0.2
490,28,5,20.1,16.7,12.1,0.0,0.0,0.2
491,28,6,20.1,16.8,12.1,0.0,0.0,0.2
492,28,7,20.2,16.8,12.1,0.0,0.0,0.2
493,28,8,20.0,16.7,12.1,0.1,0.0,0.2
494,28,9,20.0,16.8,12.1,0.1,0.0,0.2
495,28,10,20.1,16.8,12.1,0.0,0.0,0.2
496,28,11,20.0,16.8,12.1,0.0,0.0,0.2
497,28,12,20.2,16.7,12.1,0.1,0.0,0.2
498,28,13,19.9,16.9,12.0,0.1,0.0,0.2
499,28,14,19.9,16.8,12.1,0.0,0.0,0.2
500,28,15,20.0,16.8,12.1,0.0,0.0,0.2
501,28,16,20.0,16.8,12.1,0.0,0.0,0.2
502,28,17,20.1,16.9,12.2,0.1,0.0,0.2
503,28,18,20.1,16.9,12.0,0.0,0.0,0.2
504,28,19,20.0,17.1,12.0,0.2,0.0,0.2
505,28,20,20.2,17.1,12.1,0.1,0.0,0.2
506,29,1,20.1,16.8,12.0,0.0,0.0,0.2
507,29,2,20.4,16.8,12.1,0.2,0.0,0.2
508,29,3,20.1,16.8,12.2,0.1,0.0,0.2
509,29,4,20.1,17.1,12.1,0.1,0.0,0.2
510,29,5,20.1,16.9,12.1,0.0,0.0,0.2
511,30,1,20.1,16.8,12.1,0.0,0.0,0.2
512,30,2,20.4,16.9,12.1,0.1,0.0,0.2
513,30,3,20.1,16.7,12.2,0.4,0.0,0.2
514,30,4,20.2,16.8,12.1,0.0,0.0,0.2
515,30,5,20.4,16.8,12.1,0.1,0.0,0.2
516,30,6,20.0,16.7,12.1,0.0,0.0,0.2
517,30,7,20.1,16.8,12.0,0.1,0.0,0.2
