idx,device,sample,cpu_line (pc),cpu_line (orin),cpu_line (pi)
167,9,7,2499601401.0,9102687057.0,30000000000.0
168,9,8,2384779321.0,8983685420.0,30000000000.0
169,9,9,2380196372.0,9081720825.0,30000000000.0
170,9,10,2380629919.0,9084010548.0,30000000000.0
171,9,11,2375550103.0,9180622985.0,30000000000.0
172,9,12,2357196807.0,9024808013.0,30000000000.0
173,9,13,2334392618.0,9015311611.0,30000000000.0
174,9,14,2369375359.0,9063315271.0,30000000000.0
175,9,15,2391678658.0,8991478396.0,30000000000.0
176,9,16,2384565486.0,8947909143.0,30000000000.0
177,9,17,2389638675.0,9047003592.0,30000000000.0
178,9,18,2380767741.0,9039147390.0,30000000000.0
179,9,19,2366947361.0,9103177535.0,30000000000.0
180,9,20,2380021853.0,9027837709.0,30000000000.0
181,10,1,2378805787.0,9032457847.0,30000000000.0
182,10,2,2362030359.0,8849165402.0,30000000000.0
183,10,3,2366397742.0,9109096752.0,30000000000.0
184,10,4,2368189459.0,9037443262.0,30000000000.0
185,10,5,2368464284.0,9055507945.0,30000000000.0
186,10,6,2347790536.0,8996549346.0,30000000000.0
187,10,7,2368449821.0,8953875251.0,30000000000.0
188,10,8,2353553824.0,8982651575.0,30000000000.0
189,10,9,2366237531.0,8934195529.0,30000000000.0
190,10,10,2373960487.0,8955063441.0,30000000000.0
191,10,11,2376992265.0,9108636298.0,30000000000.0
192,10,12,2347976321.0,9006445192.0,30000000000.0
193,11,1,2356094916.0,9031746198.0,30000000000.0
194,11,2,2377874010.0,8986854723.0,30000000000.0
195,11,3,2364581478.0,9122837207.0,30000000000.0
196,11,5,2357908696.0,9025094029.0,30000000000.0
197,11,6,2361815933.0,9040454740.0,30000000000.0
198,11,7,2323126800.0,9013244684.0,30000000000.0
199,11,8,2351020436.0,8889238247.0,30000000000.0
200,11,9,2353116576.0,8902802102.0,30000000000.0
201,12,1,2368266418.0,8977308551.0,30000000000.0
202,12,2,2356807440.0,9043792397.0,30000000000.0
203,12,3,2344752774.0,9079323849.0,30000000000.0
204,12,4,2358537304.0,8861663681.0,30000000000.0
205,12,5,2361901618.0,8982491905.0,30000000000.0
206,12,6,2355749861.0,8915031615.0,30000000000.0
207,12,7,2390138766.0,9001529103.0,30000000000.0
208,12,8,2367898880.0,8606889518.0,30000000000.0
209,12,10,2363752054.0,8997812819.0,30000000000.0
210,12,11,2370470661.0,8874151331.0,30000000000.0
