idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_food_sources,number_of_iteration,abc_best_params,abc_best_param_idx,abc_best_fitness,abc_best_f1,abc_best_inference_time,abc_best_memory,abc_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
46,34,33,33,range-normalized,20,10,"{'hidden_layer_sizes': (50, 100, 100), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': True}",2617,0.764707011676838,0.9573607877,2.815429688,149.4,275,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.00129919639999998,0.22290038999999995,3.0
47,34,33,33,range-normalized,20,20,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': False}",94,0.78195939183287,0.9637063293,2.765869141,156.2,535,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.005046345200000024,0.27246093699999996,9.799999999999983
48,34,33,33,range-normalized,20,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",161,0.7804475730956812,0.9634144703,3.304443359,154.3,797,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.004754486200000074,0.266113281,7.900000000000006
49,34,33,33,range-normalized,20,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",37,0.7754088623458457,0.95739741,2.727539063,153.5,1051,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.001262574099999969,0.31079101499999995,7.099999999999994
50,34,33,33,range-normalized,20,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",141,0.7750331685955291,0.9611987904,3.108398438,152.7,1335,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0025388063000000294,0.07006836000000005,6.299999999999983
51,34,33,33,range-normalized,25,10,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",73,0.7773874289395026,0.9610148233,2.678466797,154.6,335,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.002354839200000014,0.359863281,8.199999999999989
52,34,33,33,range-normalized,25,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': True}",7,0.7744482547602775,0.9178688819,2.640380859,150.4,647,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.04079110219999993,0.397949219,4.0
53,34,33,33,range-normalized,25,30,"{'hidden_layer_sizes': (50, 50, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",2029,0.7700124111595525,0.9698536912,3.406005859,150.8,975,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.011193707100000005,0.367675781,4.400000000000006
54,34,33,33,range-normalized,25,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",32,0.7760855784080866,0.9559350201,2.620117188,153.9,1275,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0027249639999999964,0.41821288999999995,7.5
55,34,33,33,range-normalized,25,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",52,0.7782363671556674,0.9610559745,1.959960938,156.7,1588,"{'hidden_layer_sizes': (100,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",195,0.9586599841,3.038330078,146.4,0.0023959904000000476,1.07836914,10.299999999999983
