idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_food_sources,number_of_iteration,abc_best_params,abc_best_param_idx,abc_best_fitness,abc_best_f1,abc_best_inference_time,abc_best_memory,abc_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
23,34,33,33,max-normalized,25,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",128,0.954667463768033,0.963639158,0.9907226563,228.0,953,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.006375117200000058,0.029541015700000006,0.09999999999999432
24,34,33,33,max-normalized,25,40,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",73,0.9540246454921572,0.9648579746,0.9853515625,227.8,1250,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.005156300600000052,0.024169921900000002,0.29999999999998295
25,34,33,33,max-normalized,25,50,"{'hidden_layer_sizes': (50, 150, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': True}",2999,0.956503966776499,0.9686782447,1.546630859,228.0,1598,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.001336030500000085,0.5854492184,0.09999999999999432
26,34,33,33,max-normalized,30,10,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': True}",133,0.954562832857045,0.9623077859,0.9599609375,227.7,387,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.007706489300000063,0.001220703099999998,0.4000000000000057
27,34,33,33,max-normalized,30,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",19,0.9538127225905466,0.9635429624,0.9016113281,227.7,745,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0064713128000000175,0.0595703125,0.4000000000000057
28,34,33,33,max-normalized,30,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",142,0.9530665614320817,0.9661844779,0.9704589844,227.4,1111,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.003829797300000104,0.009277343800000004,0.6999999999999886
29,34,33,33,max-normalized,30,40,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.952583770993016,0.9700142752,0.9611816406,228.1,1451,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0,0.0,0.0
30,34,33,33,max-normalized,30,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,1825,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
31,34,33,33,range-normalized,5,10,"{'hidden_layer_sizes': (150, 150, 150), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",6299,0.7631872886164316,0.9611051974,2.560058594,228.3,98,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,5.812100000002207e-05,1.5996093752,1.3000000000000114
32,34,33,33,range-normalized,5,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",141,0.7529022577691247,0.9649027904,0.9660644531,227.6,194,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0038557140000000656,0.005615234299999994,0.5999999999999943
