,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms)
31,31,1,50,0,0,identity,adam,constant,0.0001,True,0.953236035364634,0.95125,0.9509342334596858,31682.544189453125,22.258056640625
32,32,1,50,0,0,identity,adam,constant,0.0001,False,0.9568752645576813,0.955,0.9546752762393179,32306.68701171875,22.383544921875
33,33,1,50,0,0,identity,adam,adaptive,0.0001,True,0.9577750118917986,0.95625,0.955978274833396,31997.5390625,23.97021484375
34,34,1,50,0,0,identity,adam,adaptive,0.0001,False,0.9593670507241205,0.9575,0.9573170069409143,31559.163818359375,22.372802734375
35,35,1,50,0,0,identity,adam,invscaling,0.0001,True,0.9542653165567873,0.9525,0.9522014349822596,31702.139892578125,22.4736328125
36,36,1,50,0,0,identity,adam,invscaling,0.0001,False,0.9597057183088101,0.9575,0.9572592332276695,31646.510009765625,22.40478515625
37,37,1,50,0,0,identity,lbfgs,constant,0.01,True,0.952206827660749,0.95125,0.9510913975928156,19052.421875,22.5869140625
38,38,1,50,0,0,identity,lbfgs,constant,0.01,False,0.9519187931816302,0.95125,0.9509659506885947,18892.236572265625,22.404296875
39,39,1,50,0,0,identity,lbfgs,adaptive,0.01,True,0.9610978623366673,0.96,0.9598830568010344,18447.720703125,22.685546875
40,40,1,50,0,0,identity,lbfgs,adaptive,0.01,False,0.9570990721312017,0.95625,0.9560157310678795,18730.21728515625,22.45751953125
41,41,1,50,0,0,identity,lbfgs,invscaling,0.01,True,0.9664179428291139,0.965,0.9648309208714294,17997.968505859375,22.562255859375
42,42,1,50,0,0,identity,lbfgs,invscaling,0.01,False,0.9646772637225887,0.96375,0.9636559004860723,18540.8251953125,22.359619140625
43,43,1,50,0,0,identity,lbfgs,constant,0.001,True,0.9566839334536442,0.955,0.9549575409696343,18332.972900390625,22.275146484375
44,44,1,50,0,0,identity,lbfgs,constant,0.001,False,0.9545068339204754,0.95375,0.953540805010816,18447.928466796875,22.38916015625
45,45,1,50,0,0,identity,lbfgs,adaptive,0.001,True,0.9559005821210271,0.955,0.9548162785321936,18281.97607421875,22.503662109375
46,46,1,50,0,0,identity,lbfgs,adaptive,0.001,False,0.9582179768461003,0.9575,0.9572197172280306,18478.144775390625,22.971435546875
47,47,1,50,0,0,identity,lbfgs,invscaling,0.001,True,0.953587229953509,0.9525,0.9522396887648655,18235.1201171875,22.619873046875
48,48,1,50,0,0,identity,lbfgs,invscaling,0.001,False,0.9620869715428184,0.96125,0.9610687072639607,17824.886474609375,22.57666015625
