idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
176,4192533070.0,3429589.0,10.5,0.0,160.4
177,4127428323.0,3374902.0,12.5,0.0,156.8
178,4138035141.0,3573078.0,14.4,0.0,161.0
179,4170423647.0,3385238.0,12.6,0.0,155.0
180,4143058335.0,3378966.0,8.4,0.0,149.2
181,4884133539.0,3358390.0,12.5,0.0,156.9
182,4930139963.0,3475831.0,10.5,0.0,153.7
183,4956997665.0,3440087.0,6.4,0.0,157.3
184,4874770510.0,3295543.0,18.4,16.0,175.9
185,4845469277.0,3466262.0,12.5,0.0,154.7
186,4842695572.0,3425680.0,16.5,0.0,158.2
187,4868803871.0,3459882.0,8.6,0.0,155.4
188,4879936474.0,3346144.0,36.5,0.0,179.4
189,4874266638.0,3461853.0,10.5,0.0,157.0
190,4904246010.0,3375349.0,8.4,0.0,157.3
191,4879861580.0,3396145.0,10.4,0.0,157.8
192,4896022570.0,3423180.0,8.6,0.0,168.0
193,4794184334.0,3423368.0,8.5,0.0,155.3
194,4950083578.0,3392963.0,10.5,0.0,162.4
195,4884357844.0,4059563.0,4.4,0.0,146.4
196,4831281971.0,3429723.0,12.4,0.0,154.2
197,4879666251.0,3378583.0,14.4,0.0,158.0
198,4864685144.0,3401236.0,10.1,0.5,168.1
199,2567909912.0,3371761.0,19.7,0.0,168.9
200,2438467274.0,3380174.0,27.6,0.0,169.2
201,2591857215.0,3381260.0,21.7,0.0,170.6
202,2512966961.0,3343977.0,39.7,0.0,180.9
203,2526182538.0,3378792.0,17.5,0.0,164.8
204,2546445687.0,3435494.0,39.2,0.0,180.6
205,2535828379.0,3432613.0,21.7,0.0,172.2
206,2545193881.0,3424515.0,15.4,0.0,173.4
207,2541805893.0,3298272.0,41.4,0.0,188.8
208,2566280867.0,3311775.0,21.7,0.0,167.4
209,2527845549.0,3434335.0,17.3,0.0,173.5
210,2461250127.0,3403165.0,17.7,0.0,164.1
211,2496709247.0,3447931.0,41.3,0.0,188.7
212,2520717959.0,3434394.0,19.5,0.0,166.1
213,2504155472.0,3489273.0,15.9,0.0,161.7
214,2548746462.0,3396792.0,19.4,0.0,172.2
215,2493625056.0,3425847.0,19.5,0.0,164.8
216,2502966664.0,3477015.0,17.2,0.0,168.8
217,4529034943.0,3523605.0,12.4,0.0,158.2
218,4530012916.0,3511092.0,10.4,2.0,156.8
219,4524401878.0,3607252.0,12.5,0.0,161.9
220,4537461806.0,3506163.0,14.6,0.0,163.4
221,4529143425.0,3389937.0,34.5,0.0,175.5
222,4662880867.0,3599185.0,30.7,0.0,171.0
223,4578568326.0,3535696.0,10.1,0.4,156.1
224,4579525155.0,3526992.0,14.5,0.0,160.1
225,4572851218.0,3486415.0,30.4,0.0,171.5
226,4609773460.0,3586799.0,10.5,0.0,157.8
227,4566620897.0,3441934.0,12.5,0.0,157.0
228,4525169712.0,3506573.0,8.6,0.0,162.4
229,4548148585.0,3454829.0,34.5,0.0,181.4
230,4631592143.0,3586604.0,10.5,0.0,154.3
231,4566323161.0,3443212.0,10.1,0.0,159.1
232,4580312437.0,3552236.0,12.5,0.0,160.8
233,4548914242.0,3504107.0,10.4,0.0,153.1
234,4566454057.0,3605035.0,14.4,0.0,156.0
235,5311998654.0,3477195.0,10.5,0.0,157.8
236,5207702476.0,3490634.0,32.7,0.0,173.6
237,5252348131.0,3554346.0,10.5,0.0,153.3
238,5227140027.0,3527017.0,14.4,0.0,158.2
239,5268514495.0,3520553.0,8.5,0.0,160.3
240,5230519726.0,3381865.0,10.7,0.0,157.8
241,5238315820.0,3629513.0,12.4,0.0,162.1
242,5237765005.0,3449064.0,10.2,0.0,159.5
243,5251825060.0,3531816.0,14.6,4.0,162.2
244,5394531381.0,3687688.0,10.4,0.0,165.8
245,5224725483.0,3481480.0,12.5,0.0,160.2
246,5223347478.0,3407848.0,6.5,0.0,155.4
247,5240514490.0,3467335.0,16.5,0.0,157.7
248,5247953237.0,3541128.0,32.3,0.0,177.8
249,5269778110.0,3449063.0,12.2,0.0,156.5
250,5253996838.0,3545671.0,36.4,0.0,177.3
251,5265339952.0,3568327.0,8.5,0.0,152.9
252,5223606302.0,3542247.0,14.5,0.0,158.1
253,2888132930.0,3490151.0,41.7,0.0,182.3
254,2853764221.0,3473862.0,23.9,0.0,168.9
255,2925335720.0,3347335.0,22.1,0.0,170.0
256,2992447275.0,3503942.0,26.1,0.0,169.1
257,2928632058.0,3785127.0,19.7,0.0,166.8
258,2933473102.0,3501318.0,17.7,0.0,170.3
259,2498826369.0,3386310.0,26.1,0.0,167.8
260,2862178893.0,3481766.0,21.9,0.0,166.7
261,2832916428.0,3527174.0,43.9,0.0,185.1
262,2930408786.0,3638215.0,22.2,0.0,172.8
263,2960072192.0,3558598.0,21.8,0.0,162.8
264,2952533293.0,3405318.0,19.6,0.0,166.2
265,2914471048.0,3544806.0,41.9,0.0,182.7
266,2721521911.0,3554086.0,39.4,0.0,184.4
267,2892410146.0,3530374.0,19.7,0.0,164.6
268,2886881979.0,3547942.0,41.3,0.0,182.6
269,2864626747.0,3589703.0,17.7,0.0,165.6
270,2904149413.0,3551014.0,21.7,0.0,168.8
271,4955225205.0,4700424.0,10.5,0.0,161.8
