idx,train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1092,6e+10,71260323.0,0.1,0.5,122.4
1093,6e+10,73420958.0,0.1,0.5,122.5
1094,7e+10,70923125.0,0.1,0.5,122.2
1095,6e+10,67957164.0,0.1,0.5,122.2
1096,6e+10,73476885.0,0.1,0.5,122.2
1097,6e+10,71039550.0,0.1,0.5,122.2
1098,6e+10,61388920.0,0.1,0.5,122.2
1099,7e+10,74370840.0,0.1,0.6,122.3
1100,7e+10,75025537.0,0.1,0.4,122.4
1101,7e+10,75262937.0,0.1,0.5,122.4
1102,6e+10,71711349.0,0.1,0.5,122.4
1103,6e+10,74174524.0,0.1,0.5,122.4
1104,6e+10,75861655.0,0.1,0.5,122.2
1105,6e+10,74484771.0,0.1,0.5,122.5
1106,6e+10,74741831.0,0.1,0.5,122.5
1107,6e+10,74822055.0,0.1,0.5,122.3
1108,7e+10,74596071.0,0.1,0.5,122.4
1109,6e+10,64709759.0,0.1,0.5,122.5
1110,6e+10,74306066.0,0.1,0.5,122.4
1111,9e+10,74285164.0,0.1,0.5,122.2
1112,6e+10,75462873.0,0.1,0.5,122.1
1113,6e+10,74230986.0,0.1,0.6,122.2
1114,6e+10,74409526.0,0.1,0.5,122.4
1115,7e+10,74650360.0,0.1,0.5,122.2
1116,6e+10,74719884.0,0.1,0.5,122.4
1117,5e+10,82531369.0,8.0,0.0,129.9
1118,4e+10,68493849.0,8.0,0.0,129.9
1119,5e+10,71141289.0,8.0,0.0,130.0
1120,4e+10,74176947.0,8.0,0.0,129.9
1121,4e+10,71819288.0,9.3,0.0,130.8
1122,3e+10,68912350.0,9.3,0.0,131.1
1123,4e+10,74046553.0,8.1,0.0,129.6
1124,5e+10,74129525.0,8.0,0.0,129.9
1125,3e+10,74089165.0,8.1,0.0,129.8
1126,3e+10,70112984.0,8.0,0.0,129.7
1127,4e+10,74081422.0,9.3,0.0,131.1
1128,5e+10,163991673.0,9.3,0.0,131.0
1129,5e+10,74132772.0,8.0,0.0,129.6
1130,3e+10,71975036.0,8.0,0.0,129.9
1131,3e+10,73627618.0,8.1,0.0,129.7
1132,3e+10,74109093.0,8.1,0.0,129.9
1133,3e+10,71404298.0,8.0,0.0,130.0
1134,3e+10,69381482.0,8.0,0.0,129.9
1135,4e+10,31488800.0,0.1,0.5,122.3
1136,4e+10,33727771.0,0.1,0.4,122.3
1137,4e+10,33669646.0,0.1,0.4,122.4
1138,4e+10,33353656.0,0.4,0.0,122.1
1139,4e+10,33503813.0,0.1,0.5,122.1
1140,4e+10,33287041.0,0.1,0.4,122.4
1141,4e+10,33232250.0,0.1,0.4,122.2
1142,4e+10,31386251.0,0.1,0.4,122.4
1143,4e+10,33581053.0,0.1,0.4,122.3
1144,4e+10,33471782.0,0.4,0.0,122.3
1145,4e+10,32072400.0,0.1,0.5,122.2
1146,4e+10,33544803.0,0.1,0.4,122.4
1147,4e+10,33470480.0,0.1,0.4,122.2
1148,4e+10,33440220.0,0.3,0.0,122.3
1149,4e+10,31489585.0,0.4,0.0,122.1
1150,4e+10,30247079.0,0.4,0.0,122.4
1151,4e+10,31284688.0,0.1,0.4,122.4
1152,4e+10,33627772.0,0.1,0.5,122.1
1153,3e+10,31132291.0,0.0,0.4,122.2
1154,3e+10,33015946.0,0.1,0.4,122.3
1155,3e+10,33046103.0,0.1,0.4,122.2
