,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms)
31,31,1,50,0,0,identity,adam,constant,0.0001,True,0.9589764554146111,0.9575,0.9572087618466845,1171.1123046875,0.919921875
32,32,1,50,0,0,identity,adam,constant,0.0001,False,0.9627821798604629,0.96125,0.9610377771261652,1171.2978515625,0.916015625
33,33,1,50,0,0,identity,adam,adaptive,0.0001,True,0.964090806604062,0.9625,0.9624934619313352,1174.6982421875,0.91650390625
34,34,1,50,0,0,identity,adam,adaptive,0.0001,False,0.9595449375396169,0.9575,0.9573282564078147,1172.54296875,0.917724609375
35,35,1,50,0,0,identity,adam,invscaling,0.0001,True,0.9565886302666508,0.955,0.9546551237056096,1174.84814453125,0.9140625
36,36,1,50,0,0,identity,adam,invscaling,0.0001,False,0.9617402861369857,0.96,0.9598777931039143,1170.985595703125,0.90576171875
37,37,1,50,0,0,identity,lbfgs,constant,0.01,True,0.9582351432871999,0.9575,0.957375287643649,1061.9697265625,2.280029296875
38,38,1,50,0,0,identity,lbfgs,constant,0.01,False,0.9593875580805008,0.95875,0.9585432627884374,1151.5263671875,2.37353515625
39,39,1,50,0,0,identity,lbfgs,adaptive,0.01,True,0.950182351718319,0.94875,0.9485312637316236,832.911865234375,2.25341796875
40,40,1,50,0,0,identity,lbfgs,adaptive,0.01,False,0.9648286000693305,0.96375,0.9636289552278501,1104.164306640625,2.228515625
41,41,1,50,0,0,identity,lbfgs,invscaling,0.01,True,0.9599248026022812,0.95875,0.9584914801668738,1108.616455078125,2.273193359375
42,42,1,50,0,0,identity,lbfgs,invscaling,0.01,False,0.9533944516385854,0.9525,0.952241729486779,1062.306640625,2.06787109375
43,43,1,50,0,0,identity,lbfgs,constant,0.001,True,0.955691930959231,0.955,0.9549251541356718,1171.411865234375,2.322998046875
44,44,1,50,0,0,identity,lbfgs,constant,0.001,False,0.9525797171013534,0.95125,0.9509072784480617,1223.45751953125,2.25
45,45,1,50,0,0,identity,lbfgs,adaptive,0.001,True,0.9522583702597212,0.95125,0.9508318757804881,1067.0810546875,2.28125
46,46,1,50,0,0,identity,lbfgs,adaptive,0.001,False,0.9518374450401663,0.95125,0.9507884029694406,1107.0419921875,2.292236328125
47,47,1,50,0,0,identity,lbfgs,invscaling,0.001,True,0.9536487615848084,0.9525,0.9524439928718097,1171.94287109375,2.25830078125
48,48,1,50,0,0,identity,lbfgs,invscaling,0.001,False,0.9501980420055547,0.94875,0.9485228062479546,1130.145751953125,2.1923828125
49,49,1,50,0,0,identity,lbfgs,constant,0.0001,True,0.9501497316507616,0.94875,0.9487479350805458,1028.890625,2.241455078125
50,50,1,50,0,0,identity,lbfgs,constant,0.0001,False,0.9494392080464338,0.94875,0.9485337309672184,1121.4453125,2.273681640625
51,51,1,50,0,0,identity,lbfgs,adaptive,0.0001,True,0.9529268756116441,0.95125,0.9510084296961167,1082.659912109375,2.25732421875
52,52,1,50,0,0,identity,lbfgs,adaptive,0.0001,False,0.9580658547988458,0.95625,0.9562784921533662,1151.26025390625,2.227783203125
53,53,1,50,0,0,identity,lbfgs,invscaling,0.0001,True,0.9573758610167467,0.95625,0.956071372846659,947.82275390625,1.0693359375
54,54,1,50,0,0,identity,lbfgs,invscaling,0.0001,False,0.961001324849244,0.96,0.9599024179146661,912.68408203125,2.18017578125
55,55,1,50,0,0,relu,sgd,constant,0.01,True,0.9196933855327123,0.91625,0.9151442969400674,1248.931884765625,0.982421875
56,56,1,50,0,0,relu,sgd,constant,0.01,False,0.9140299852965447,0.91125,0.9102026882848284,1226.02783203125,0.99365234375
57,57,1,50,0,0,relu,sgd,adaptive,0.01,True,0.9009888882706352,0.89875,0.8973776803012143,1223.851318359375,0.983642578125
58,58,1,50,0,0,relu,sgd,adaptive,0.01,False,0.91584155172494,0.91375,0.9124585980367368,1219.55224609375,0.99560546875
59,59,1,50,0,0,relu,sgd,invscaling,0.01,True,0.07418288366288778,0.11125,0.078661204878783,1214.197021484375,0.98388671875
60,60,1,50,0,0,relu,sgd,invscaling,0.01,False,0.1748104020033766,0.14375,0.12110054779985256,1215.08349609375,0.99169921875
61,61,1,50,0,0,relu,sgd,constant,0.001,True,0.9113102893348326,0.90625,0.9054929276436496,1220.61328125,1.2109375
62,62,1,50,0,0,relu,sgd,constant,0.001,False,0.9049162491330074,0.90375,0.9023889509405245,1219.979736328125,1.000244140625
63,63,1,50,0,0,relu,sgd,adaptive,0.001,True,0.9148117405486683,0.91125,0.9102949181606718,1218.40966796875,0.992919921875
64,64,1,50,0,0,relu,sgd,adaptive,0.001,False,0.9180900674913945,0.9175,0.9161957271771716,1217.12744140625,0.98681640625
65,65,1,50,0,0,relu,sgd,invscaling,0.001,True,0.04385273911936317,0.07125,0.04654852646978742,1221.2880859375,0.969482421875
66,66,1,50,0,0,relu,sgd,invscaling,0.001,False,0.15179911281291614,0.1875,0.12230608384711796,1221.43359375,0.96630859375
67,67,1,50,0,0,relu,sgd,constant,0.0001,True,0.9101998149134946,0.90875,0.9065792102666462,1219.595947265625,0.99658203125
68,68,1,50,0,0,relu,sgd,constant,0.0001,False,0.9021630110787058,0.89875,0.8973845314864739,1222.743408203125,1.0029296875
69,69,1,50,0,0,relu,sgd,adaptive,0.0001,True,0.9086888110982181,0.90625,0.9053218267122287,1259.14599609375,1.075439453125
70,70,1,50,0,0,relu,sgd,adaptive,0.0001,False,0.9017206274811481,0.89875,0.8967852729622279,1489.40234375,1.084228515625
