idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
1283,3,50,50,100,tanh,lbfgs,invscaling,0.01,True,0.9605266166,0.96,0.9599203055,1138.163086,3.607910156,1566988941,2277279,21.4,0.0,248.4
1284,3,50,50,100,tanh,lbfgs,invscaling,0.01,False,0.9659245937,0.965,0.9651559611,1188.72583,3.737792969,1427796550,2072698,21.9,0.2,249.5
1285,3,50,50,100,tanh,lbfgs,constant,0.001,True,0.9665482999,0.96625,0.9660862583,2110.358887,3.684570313,1025413389,1957686,21.2,0.0,248.1
1286,3,50,50,100,tanh,lbfgs,constant,0.001,False,0.963805059,0.96375,0.9635128861,1277.544678,3.714599609,929586416,1937963,22.7,0.0,250.2
1287,3,50,50,100,tanh,lbfgs,adaptive,0.001,True,0.9574314494,0.95625,0.9562719849,1419.27417,3.677978516,770479651,1929605,21.9,0.0,249.5
1288,3,50,50,100,tanh,lbfgs,adaptive,0.001,False,0.9555214421,0.955,0.9549007306,1766.05957,3.564941406,953451471,1929271,21.6,0.0,248.8
1289,3,50,50,100,tanh,lbfgs,invscaling,0.001,True,0.9669945364,0.96625,0.9662305701,1237.019287,3.672607422,665512829,2215073,22.5,0.0,248.7
1290,3,50,50,100,tanh,lbfgs,invscaling,0.001,False,0.9554011667,0.955,0.9548069676,1453.343262,3.681640625,673915230,1973371,21.6,0.0,249.0
1291,3,50,50,100,tanh,lbfgs,constant,0.0001,True,0.965794793,0.965,0.9650611279,2192.691895,3.700439453,1086707385,1950618,22.5,0.0,249.4
1292,3,50,50,100,tanh,lbfgs,constant,0.0001,False,0.9623506806,0.96125,0.9613173795,1657.005859,3.755126953,1211613834,1929887,21.6,0.0,249.2
1293,3,50,50,100,tanh,lbfgs,adaptive,0.0001,True,0.9691813845,0.96875,0.9687722805,1902.237061,1.673339844,1150530916,1953660,22.1,0.0,250.3
1294,3,50,50,100,tanh,lbfgs,adaptive,0.0001,False,0.9519775047,0.95125,0.9511680636,1269.914551,3.642333984,814459350,1940752,21.4,0.0,248.4
1295,3,50,50,100,tanh,lbfgs,invscaling,0.0001,True,0.9570875113,0.95625,0.9562891818,1637.013184,3.539306641,1160041118,1929222,21.6,0.0,249.4
1296,3,50,50,100,tanh,lbfgs,invscaling,0.0001,False,0.9631044305,0.9625,0.962500965,1456.016846,3.666503906,1187416538,1960063,22.1,0.0,248.4
1297,3,50,100,50,identity,sgd,constant,0.01,True,0.9398627833,0.9375,0.9364398278,1871.106445,1.129882813,1219283771,947152,0.8,0.0,228.0
1298,3,50,100,50,identity,sgd,constant,0.01,False,0.939628944,0.93625,0.9357565616,1821.656738,1.156494141,1221088216,908423,0.6,0.0,228.0
1299,3,50,100,50,identity,sgd,adaptive,0.01,True,0.9450491962,0.9425,0.9419041078,1831.09082,1.125,1234939579,936484,0.8,0.2,228.4
1300,3,50,100,50,identity,sgd,adaptive,0.01,False,0.9428290919,0.93875,0.9379943446,1819.919678,1.134277344,1217814883,904781,0.6,0.2,228.0
1301,3,50,100,50,identity,sgd,invscaling,0.01,True,0.2315419594,0.31375,0.2444533454,1820.479736,1.161865234,1208338987,930377,0.6,0.0,228.3
