idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_particle,number_of_iteration,pso_best_params,pso_best_param_idx,pso_best_fitness,pso_best_f1,pso_best_inference_time,pso_best_memory,pso_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
23,34,33,33,max-normalized,25,30,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",36,0.954885769168861,0.9598777931,0.9057617188,227.6,806,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.010136482100000066,0.055419921799999994,0.5
24,34,33,33,max-normalized,25,40,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",142,0.9530665614320817,0.9661844779,0.9704589844,227.4,1066,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.003829797300000104,0.009277343800000004,0.6999999999999886
25,34,33,33,max-normalized,25,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,1326,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
26,34,33,33,max-normalized,30,10,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.952583770993016,0.9700142752,0.9611816406,228.1,341,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0,0.0,0.0
27,34,33,33,max-normalized,30,20,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.952583770993016,0.9700142752,0.9611816406,228.1,651,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0,0.0,0.0
28,34,33,33,max-normalized,30,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,961,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
29,34,33,33,max-normalized,30,40,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,1271,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
30,34,33,33,max-normalized,30,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",19,0.9538127225905466,0.9635429624,0.9016113281,227.7,1581,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0064713128000000175,0.0595703125,0.4000000000000057
31,34,33,33,range-normalized,5,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'lbfgs', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",50,0.7846989187118707,0.948533731,2.273681641,232.5,66,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.012513345399999931,1.3132324222,5.5
32,34,33,33,range-normalized,5,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",2,0.7663124025148965,0.9142179764,0.9458007813,228.3,126,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.04682909999999996,0.0146484375,1.3000000000000114
