idx,no_of_layers,l1,l2,l3,activation,solver,learning_rate,alpha,warm_start,precision,recall,f1,training time (ms),inference time (ms),train(cpu_line)(nano sec),test(cpu_line)(nano sec),train(mem)(MiB),test(mem)(MiB),total_addr_space(mem)(MiB)
2895,3,50,100,150,tanh,adam,adaptive,0.0001,TRUE,0.9596357128,0.95875,0.9586309125,8972.686035,8.090087891,9316653208,8499139,10.2,0,152.3
2896,3,50,100,150,tanh,adam,adaptive,0.0001,FALSE,0.9644894808,0.96375,0.9635779381,8993.530762,8.085205078,9387452918,8348098,10.5,0,158.8
2897,3,50,100,150,tanh,adam,invscaling,0.0001,TRUE,0.9627219454,0.9625,0.9621098551,8980.637451,8.078125,9256502574,8349539,12.5,0,154.6
2898,3,50,100,150,tanh,adam,invscaling,0.0001,FALSE,0.9685367076,0.9675,0.9674691047,8982.936035,8.037597656,9360412748,8457922,12.5,0,157.8
2899,3,50,100,150,tanh,lbfgs,constant,0.01,TRUE,0.9706917736,0.97,0.970096051,5581.640869,8.193115234,3686427763,8387234,45.3,0,197.4
2900,3,50,100,150,tanh,lbfgs,constant,0.01,FALSE,0.9665381128,0.96625,0.9661419335,5941.013428,8.142089844,4570238614,8466018,45.8,0,193
2901,3,50,100,150,tanh,lbfgs,adaptive,0.01,TRUE,0.9697366632,0.96875,0.9688903217,4228.920166,8.1640625,5140741123,8461985,67.9,0,207.6
2902,3,50,100,150,tanh,lbfgs,adaptive,0.01,FALSE,0.9616202972,0.96125,0.9611608293,3819.893555,8.216552734,6797806932,8438946,37.6,0,184.6
2903,3,50,100,150,tanh,lbfgs,invscaling,0.01,TRUE,0.9644398382,0.96375,0.9637137946,6424.381104,8.135986328,4711364422,8406561,43.8,0,197.1
2904,3,50,100,150,tanh,lbfgs,invscaling,0.01,FALSE,0.9658950992,0.965,0.9650108926,6993.773193,8.177001953,6542862834,8446306,46.6,0,191.7
2905,3,50,100,150,tanh,lbfgs,constant,0.001,TRUE,0.9652261971,0.965,0.9648954433,4545.471436,8.187744141,4159917466,8453601,49.2,0,195.8
2906,3,50,100,150,tanh,lbfgs,constant,0.001,FALSE,0.9664677465,0.96625,0.9661792829,4961.228516,8.142822266,6120482720,8507426,48.5,0,192.1
2907,3,50,100,150,tanh,lbfgs,adaptive,0.001,TRUE,0.9580017645,0.9575,0.957570546,3476.110107,8.251220703,4839702234,8596770,44.8,0,191.9
2908,3,50,100,150,tanh,lbfgs,adaptive,0.001,FALSE,0.9611805649,0.96,0.960181115,4552.914795,8.167480469,4052997643,8439905,42.5,0,186.2
2909,3,50,100,150,tanh,lbfgs,invscaling,0.001,TRUE,0.9624412245,0.96125,0.9612385734,2890.306396,8.185058594,4398078062,8559745,64.2,0,204.2
2910,3,50,100,150,tanh,lbfgs,invscaling,0.001,FALSE,0.9639118547,0.96375,0.9636283967,3433.623291,8.182373047,3867670770,8527297,62.1,0,210.3
2911,3,50,100,150,tanh,lbfgs,constant,0.0001,TRUE,0.967929821,0.9675,0.9674575456,5167.293701,8.298828125,4546142069,8496449,65.5,0,210.1
2912,3,50,100,150,tanh,lbfgs,constant,0.0001,FALSE,0.9716171585,0.97125,0.9712406199,3832.769531,8.202148438,3391667086,8493792,68,0,211.2
2913,3,50,100,150,tanh,lbfgs,adaptive,0.0001,TRUE,0.96338508,0.9625,0.96252512,5100.314453,8.139404297,6561451002,8529504,45.9,0,190
2914,3,50,100,150,tanh,lbfgs,adaptive,0.0001,FALSE,0.9646228053,0.96375,0.9637003965,6065.05249,8.250732422,4548615602,8403387,41.1,0,187.7
2915,3,50,100,150,tanh,lbfgs,invscaling,0.0001,TRUE,0.9558481123,0.955,0.9549765184,6336.080811,8.197753906,5329461074,8497981,44.6,0,192.1
2916,3,50,100,150,tanh,lbfgs,invscaling,0.0001,FALSE,0.9604646834,0.96,0.9599016585,4430.866943,8.200683594,3288887415,8486878,43,0,191.4
2917,3,50,150,50,identity,sgd,constant,0.01,TRUE,0.9364425212,0.93125,0.9305539272,5365.070068,3.937744141,5762315675,4623663,10.5,0,155.4
2918,3,50,150,50,identity,sgd,constant,0.01,FALSE,0.9494629774,0.94625,0.9460052384,5374.773438,3.939697266,5773645305,4270162,6.5,0,156.4
2919,3,50,150,50,identity,sgd,adaptive,0.01,TRUE,0.9536317595,0.95,0.9495144065,5384.588135,3.888671875,5898494004,4338354,18.4,0,165.9
2920,3,50,150,50,identity,sgd,adaptive,0.01,FALSE,0.944602493,0.94,0.9394992666,5395.312012,3.950927734,5718126898,4269842,10.4,0,156.8
2921,3,50,150,50,identity,sgd,invscaling,0.01,TRUE,0.2859205295,0.2575,0.2124900627,5363.453857,3.926757813,5664157709,4267412,10.5,0,152.9
2922,3,50,150,50,identity,sgd,invscaling,0.01,FALSE,0.2740500178,0.275,0.2347378136,5354.851318,3.927246094,5700923867,4914674,14.5,0,164.2
2923,3,50,150,50,identity,sgd,constant,0.001,TRUE,0.9435350062,0.94,0.9391672592,5377.159668,3.937255859,5680206342,4239541,10.7,0,158.4
2924,3,50,150,50,identity,sgd,constant,0.001,FALSE,0.9526697196,0.95,0.9495102395,5436.775635,3.968505859,5836398524,4239542,10.5,0,162.7
2925,3,50,150,50,identity,sgd,adaptive,0.001,TRUE,0.9494178123,0.9475,0.9472183804,5547.016846,3.939697266,5714444132,4313238,14.7,0,160
2926,3,50,150,50,identity,sgd,adaptive,0.001,FALSE,0.9406283135,0.93625,0.9352311126,5371.012207,3.965576172,5707223898,4215959,14.4,0,158.2
2927,3,50,150,50,identity,sgd,invscaling,0.001,TRUE,0.2851311806,0.31875,0.2699677315,5372.424316,3.963867188,5766891541,4279479,10.5,0,158
2928,3,50,150,50,identity,sgd,invscaling,0.001,FALSE,0.3272079033,0.34625,0.3017889332,5361.829346,3.922119141,5814546599,4308759,18.4,0,163.1
2929,3,50,150,50,identity,sgd,constant,0.0001,TRUE,0.9467214577,0.9425,0.9415288828,5360.995117,3.996826172,5853174764,4359032,6.3,0,153.9
2930,3,50,150,50,identity,sgd,constant,0.0001,FALSE,0.9505639992,0.94625,0.9457497822,5361.615723,3.929199219,5726707212,4279544,12.4,0,155.8
2931,3,50,150,50,identity,sgd,adaptive,0.0001,TRUE,0.9434075936,0.94,0.9395407517,5376.661621,3.961669922,5672004088,4268889,10.6,0,168.6
2932,3,50,150,50,identity,sgd,adaptive,0.0001,FALSE,0.9433198094,0.94,0.939331177,5365.360107,3.933349609,5749509446,4319897,8.5,0,155.7
2933,3,50,150,50,identity,sgd,invscaling,0.0001,TRUE,0.2613475678,0.31,0.258221081,5381.855713,3.957275391,5726501276,4275065,12.5,0,161
2934,3,50,150,50,identity,sgd,invscaling,0.0001,FALSE,0.3364370321,0.35875,0.3209054566,5412.62915,3.966308594,5755198754,4293882,10.4,0,153.1
2935,3,50,150,50,identity,adam,constant,0.01,TRUE,0.9468584362,0.9425,0.9423731947,6022.016602,4.009765625,6155444019,4329882,14.5,0,158
2936,3,50,150,50,identity,adam,constant,0.01,FALSE,0.9542676272,0.9525,0.9523677716,4659.336914,4.045898438,5241864254,4302971,30.3,0,171.3
2937,3,50,150,50,identity,adam,adaptive,0.01,TRUE,0.9525443227,0.95125,0.9511448065,6226.134766,3.980224609,4742423919,4917882,10.5,0,161
2938,3,50,150,50,identity,adam,adaptive,0.01,FALSE,0.9559445901,0.955,0.9547354966,4786.296387,3.979980469,5874908204,4313435,16.5,0,164.2
2939,3,50,150,50,identity,adam,invscaling,0.01,TRUE,0.9585300726,0.9575,0.9572960153,4366.590576,3.983154297,6563076313,4533723,10.3,0,159.9
2940,3,50,150,50,identity,adam,invscaling,0.01,FALSE,0.9514190449,0.95,0.9497197348,3671.602051,4.025634766,4108162748,4337755,14.5,0,159.9
